fips,STATEFP,delta_STD_gen,delta_STD_gas
13035,13,-0.138813056663069,0.0587376688607258
13037,13,-0.0329248740912796,NA
13039,13,0.27412960092678,0.779334777714071
13043,13,-0.155380716424799,-0.0911776395899743
13045,13,-0.0533972134718323,-0.041674121135572
13047,13,0.221855428710025,-0.0845398897398124
13049,13,-0.0882276719727448,-0.403229374032294
13051,13,0.22773467466518,0.0314145275198683
13053,13,0.0297754850446821,0.199098691516374
13055,13,-0.17922682828118,-0.359945515685035
13057,13,0.0816173108512038,-0.0315854359847335
13059,13,0.264611873038625,-0.0343951115616531
13061,13,-0.263104583438845,-0.804789815917209
13063,13,0.144111422080025,0.342968454064968
13065,13,-0.18763183325791,1.09344222916166
13067,13,0.516502879557167,0.202692115075153
13069,13,0.144080312581422,1.08474104951164
13071,13,0.874943426855061,0.142189381440863
13073,13,0.677154085111365,0.452108349087241
13075,13,-0.0180209905006219,0.372548170269357
13077,13,0.363495585951072,0.259763865435111
13079,13,-0.151142724277531,-0.681837301182363
13081,13,-0.221469955643709,0.462926230963949
13083,13,0.189568692719368,5.97186960280995
13085,13,-0.0587706849617571,-0.0659101153259348
13087,13,-0.0130376287681856,-0.333168314419106
13089,13,0.41710389789555,0.017248943715917
13091,13,0.706605414906524,0.92653790426053
13093,13,0.0213153144527297,0.0525942472690667
13095,13,11.4462692185601,-0.0318364111323928
13097,13,0.112693838738639,0.464318591806132
13099,13,0.189669095623027,-0.509598617345188
13101,13,0.905846153846154,NA
13103,13,0.025327871152729,3.8894769707301
13105,13,-0.00583182240328636,0.859764346215161
13107,13,0.183598380279059,-0.253507669005344
13109,13,-0.255518399291172,-0.203488483904422
13111,13,0.0321479739974681,0.235695997773445
13113,13,0.0772385373311362,0.133486659246327
13115,13,0.724717966947131,0.074361363646499
13117,13,0.343907036519858,0.103613193231263
13119,13,-0.0137235521638651,0.107561564702727
13121,13,0.232672946426159,0.110313057619804
13123,13,0.0141832216842164,-0.0412677940148249
13125,13,-0.811574697173621,1.7527502750275
13127,13,1.32693893990456,0.00564401756692627
13129,13,-0.00955938813988974,-0.190905834571404
13131,13,0.212268824058455,0.0340570446789784
13133,13,-0.0489110922269665,-0.0168193029358396
13135,13,0.240589632052713,0.0725631903365162
13137,13,0.0686333422438373,-0.188581027999053
13139,13,0.715224103647151,0.0754137107698266
13141,13,0.291724471461019,-0.314018968583284
13143,13,0.133217191668571,1.81438710937346
13145,13,0.142547961443929,0.236137835615075
13147,13,0.426499935001502,0.895744671985831
13149,13,0.280850372950677,-0.0937590431175845
13151,13,0.189528381856455,-0.0740875907923759
13153,13,0.623632594602487,0.420897422548271
13155,13,0.262597548825461,NA
13157,13,0.29180166884969,0.0861691792138735
13159,13,-0.0316129020017965,0.275238667446367
13161,13,0.0634749808161033,0.374263232929612
13163,13,-0.119777082554663,-0.375409052493181
13165,13,0.217066374000371,-0.317854972655459
13167,13,0.348602336409084,-0.681238095238095
13169,13,-0.0605488167347744,1.19560486838639
13171,13,0.133053384501324,-0.453556184027416
13173,13,0.190481545619648,-0.0386648088893448
13175,13,6.73560695021116,0.267623753923733
13177,13,0.0637329690950436,-0.309487951807229
13179,13,0.312701051869287,0.205387914536519
13181,13,0.196706341034757,1.67954609283452
13183,13,0.0178854470905538,-0.928661207587558
13185,13,0.396671923778213,-0.0592976921224725
13187,13,-0.0964770152735384,0.225150893557574
13189,13,-0.0374633682756981,-0.16305761438611
13191,13,0.309086860604573,0.293317832536322
13193,13,-0.00424671172738876,NA
13195,13,-0.0264776137858271,0.0885432318262767
13197,13,0.37759181669114,-0.0838832096101389
13199,13,0.476799208595499,-0.181980666154325
13201,13,-0.00885944191041973,0.414016356201727
13205,13,0.73964490746509,-0.225346800510303
13207,13,-0.0218757468918819,-0.224423445033114
13209,13,0.156509005466972,0.0162961693787704
13211,13,-0.047219678584668,0.0697817963360694
13213,13,-0.0917514018954683,-0.214075738895557
13215,13,0.513664861653951,0.340063787554473
13217,13,0.11488157052742,-0.114577728164931
13219,13,0.137790560622102,-0.0769193388597981
13221,13,-0.0657983219065099,0.463971039093906
13223,13,-0.030003178584117,-0.234439518581813
13225,13,-0.086515936134127,-0.0786218070671744
13227,13,0.123916188418155,-0.173109930782653
13229,13,0.280742127029783,0.933184855233853
13231,13,0.512857075937801,-0.213789990791466
13233,13,0.305188176069456,-0.0457947318625208
13235,13,0.166249182804,NA
13237,13,-0.0572885074720049,1.12763446386019
13239,13,0.361337683523654,1.10507679282565
13241,13,0.0124808828488307,0.0549166163872077
13243,13,0.9272573825721,-1
13245,13,0.309650368491005,-0.0400282660157916
13247,13,0.0597509024933404,0.227211009643315
13249,13,-0.276981612537143,0.00149732620320856
13251,13,-0.0405009646636533,0.0670751043987843
13253,13,0.661208559368554,-0.615845059673977
13255,13,-0.0712520045605173,0.541315427447117
13257,13,0.0325347049974631,-0.0590138433335837
13259,13,1.50233246462312,NA
13261,13,0.469449322740533,-0.228444211500919
13263,13,0.629709481042725,-0.472619047619048
13265,13,-0.285617452079218,1.88012984001855
13267,13,-0.0894272329130249,-0.0750519821433455
13269,13,0.188026250392457,0.571759616870075
13271,13,0.286917685365408,-0.483354621798143
13273,13,0.716694369263146,0.178868706706731
13275,13,0.619061875405359,-0.437747852896477
13277,13,-0.00905887259385877,0.151768399061233
13279,13,-0.229954084267444,-0.318743294914543
13281,13,0.0534278570032008,-0.154714035988898
13283,13,0.0378412316933811,2.11109011178103
13285,13,-0.0139227858802123,1.10275527703122
13287,13,0.158410215494882,1.17079199595837
13289,13,0.896339923036624,1.78768327628719
13291,13,0.170554082812057,0.216949678582499
13293,13,1.0281635479471,-0.486134697210483
13295,13,0.0910383697271344,0.488548931057161
13297,13,0.09672304401727,0.364429391499843
13299,13,-0.137386290269055,0.394172824857321
13301,13,3.43591376600185,-0.0593678081937257
13303,13,0.0925649823955003,-0.150252702416087
13305,13,-0.0259319851573973,-0.262276026524138
13307,13,-0.449145206665224,0.0372967498815598
13309,13,-0.477901573580685,NA
13311,13,0.0569189978114067,0.335198356066129
13313,13,0.0580363408116795,-0.121327565475488
13315,13,-0.0990361839670317,0.102433954186908
13317,13,0.938721453294411,NA
13319,13,0.314737942651509,3.38233718792619
13321,13,0.138636731866416,2.12807636442114
15001,15,0.0549525151850131,0.189645669808246
15003,15,0.0954480153200937,0.173956577364101
15007,15,0.600311256261631,-0.0815934804012904
15009,15,0.398797873346387,0.283322004140875
16001,16,0.082178815827101,0.0945779537707441
16003,16,0.574999593106975,-0.3365264516756
16005,16,0.633244106365893,0.078385395803124
16007,16,-0.0637446323319292,0.24012487370209
16009,16,0.0175206883932926,0.340354396522902
16011,16,0.0535783785596759,0.0297178990006647
16013,16,0.140762446464877,0.5930852428884
